lambda_A, Ft_raw, Fc_anchored, A_t, A_c, pre_extract_ratio_r, epsilon
5.190000000000000000e+03,9.625000000000000000e+06,5.609952429915080575e+04,9.990232942229947399e-01,8.513703666384624391e-01,5.828522005106577530e-03,4.967082294419753602e-03
5.210000000000000000e+03,1.041000000000000000e+07,6.753346732122500543e+04,9.990274219364951858e-01,8.515441718168020868e-01,6.487364776294428717e-03,5.529655687523553353e-03
5.230000000000000000e+03,1.053000000000000000e+07,8.296625389076750434e+04,9.990315297918181958e-01,8.517194788211640555e-01,7.879036456863011684e-03,6.717234265920237098e-03
5.250000000000000000e+03,1.080000000000000000e+07,8.892421809757234587e+04,9.990356178958035294e-01,8.518962718842151283e-01,8.233723897923365953e-03,7.021049667016428762e-03
5.270000000000000000e+03,9.669000000000000000e+06,7.352877529811230488e+04,9.990396863546586737e-01,8.520745353532236388e-01,7.604589440284652627e-03,6.485905517453381501e-03
5.290000000000000000e+03,1.067000000000000000e+07,8.857127228899423790e+04,9.990437352739647281e-01,8.522542536889670117e-01,8.300962726241260109e-03,7.081302392845345052e-03
5.310000000000000000e+03,1.093000000000000000e+07,9.543283182095384109e+04,9.990477647586780696e-01,8.524354114646518488e-01,8.731274640526425976e-03,7.449941787924282098e-03
5.330000000000000000e+03,9.996000000000000000e+06,8.104013189598632744e+04,9.990504403363734687e-01,8.526179933648561082e-01,8.107256092035447156e-03,6.918962388484522184e-03
5.350000000000000000e+03,1.063000000000000000e+07,8.943877745176761528e+04,9.990544376616525835e-01,8.528019841844777238e-01,8.413807850589614945e-03,7.182103155783994657e-03
5.370000000000000000e+03,1.059000000000000000e+07,8.854657964880990039e+04,9.990584158292024064e-01,8.529873688277068711e-01,8.361338965893286637e-03,7.138838341574202731e-03
5.390000000000000000e+03,1.048000000000000000e+07,8.590529472904885188e+04,9.990623749417257837e-01,8.531741323070065608e-01,8.197070107733668218e-03,7.000091637955336080e-03
5.410000000000000000e+03,1.013000000000000000e+07,8.336645784873758384e+04,9.990663151013200460e-01,8.533622597421125500e-01,8.229660202244578476e-03,7.029444713472238898e-03
5.430000000000000000e+03,1.039000000000000000e+07,8.455326974402846827e+04,9.990689313951236494e-01,8.532407697422719206e-01,8.137947039848745373e-03,6.950099215582791583e-03
5.450000000000000000e+03,1.059000000000000000e+07,8.749239571499254089e+04,9.990728401917535750e-01,8.534318561720676266e-01,8.261793740792496704e-03,7.057421324917634818e-03
5.470000000000000000e+03,1.040000000000000000e+07,8.746169793353391287e+04,9.990767303047833892e-01,8.536242654738777080e-01,8.409778647455184650e-03,7.185425206071844109e-03
5.490000000000000000e+03,1.033000000000000000e+07,8.725957781290246930e+04,9.990806018341233941e-01,8.538179831643892825e-01,8.447200175498787572e-03,7.219008560460185055e-03
5.510000000000000000e+03,1.033000000000000000e+07,8.545333639633242274e+04,9.990831725784834472e-01,8.540129948629106016e-01,8.272346214552993293e-03,7.071174211652827592e-03
5.530000000000000000e+03,1.036000000000000000e+07,8.859050656111122225e+04,9.990870133554358157e-01,8.542092862904410167e-01,8.551207197018457010e-03,7.311195620644262913e-03
5.550000000000000000e+03,1.046000000000000000e+07,9.041806524406376411e+04,9.990908358122629895e-01,8.544068432687672576e-01,8.644174497520435568e-03,7.392362716535453779e-03
5.570000000000000000e+03,1.017000000000000000e+07,8.638728901712957304e+04,9.990933739872742692e-01,8.546056517195712576e-01,8.494325370415887685e-03,7.265885910274110134e-03
5.590000000000000000e+03,9.984000000000000000e+06,8.205101990678874427e+04,9.990971661275511728e-01,8.544964549606612891e-01,8.218251192587013379e-03,7.028812359923455357e-03
5.610000000000000000e+03,1.021000000000000000e+07,8.730013471627788385e+04,9.991009402071600043e-01,8.546980226762066479e-01,8.550453938910664020e-03,7.314632366430991184e-03
5.630000000000000000e+03,1.025000000000000000e+07,8.821575414955805172e+04,9.991046963223519928e-01,8.549008029718054846e-01,8.606415038981274010e-03,7.364224344672523972e-03
5.650000000000000000e+03,1.020000000000000000e+07,8.862874073095644417e+04,9.991071904661911196e-01,8.551047821386877912e-01,8.689092228525142209e-03,7.436723895049760988e-03
5.670000000000000000e+03,9.971000000000000000e+06,8.592267999035937828e+04,9.991109168530492024e-01,8.553099465638007715e-01,8.617258047373319713e-03,7.376985273307158121e-03
5.690000000000000000e+03,1.008000000000000000e+07,8.715256895831601287e+04,9.991146255294114376e-01,8.555162827289991556e-01,8.646088190309127522e-03,7.403424031352665718e-03
5.710000000000000000e+03,9.907000000000000000e+06,8.338302266494356445e+04,9.991170881876965115e-01,8.557237772102191942e-01,8.416576427267948718e-03,7.208629155351996276e-03
